***** Results of Analysis *****

Variables	VarBounds_0	VarBoundFraction
e0_K_LV_i1	0.912498079289 	0.912498079289
e0_h_V	1.0 	1.0
e0_p	solved 	solved
e0_x_i1	0.406249565107 	0.406249565107
e0_x_i2	0.406249565107 	0.406249565107
e0_K_LV_i2	0.491384454418 	0.491384454418
e0_x_F_i2	1.11022302463e-16 	1.11022302463e-16
e0_y_i1	0.579084966654 	0.579084966654
e0_y_i2	0.58024691358 	0.58024691358
e0_greek_alpha_L_i1	2.77555756156e-17 	2.77555756156e-17
e0_greek_alpha_L_i2	1.11022302463e-16 	1.11022302463e-16
e0_greek_gamma_L_i1	0.581574361013 	0.581574361013
e0_greek_gamma_L_i2	0.783965903435 	0.783965903435
e0_h_F	1.94025536378e-15 	1.94025536378e-15
e0_L	0.607594653303 	0.607594653303
e0_Q	1.0 	1.0
e0_V	0.603478516743 	0.603478516743
e0_HU_i1	0.732904410921 	0.732904410921
e0_HU_i2	0.733057694503 	0.733057694503
e0_HU_L	0.000478506088257 	0.000478506088257
e0_HU_V	0.0390625 	0.0390625
e0_U	0.0177433540227 	0.0177433540227
e0_V_L	1.47575085049e-06 	1.47575085049e-06
e0_V_V	0.00229381960938 	0.00229381960938
e0_V_total	1.73472347598e-17 	1.73472347598e-17
e0_A	3.46944695195e-17 	3.46944695195e-17
e0_r_DH	5.55111512313e-17 	5.55111512313e-17
e0_h_L	1.0 	1.0

VarboundSetFraction	 5.56050009209e-131	5.56050009209e-131
HypercubicLengthFraction	1.49880439352e-05 

Following Variables have been solved:
e0_p (VarBound_0)
