***** Results of Analysis *****

Variables	VarBounds_0	VarBoundFraction
e0_greek_DeltaT_logsh	1.0 	1.0
e0_Q_sh	0.15707963268 	0.15707963268
e0_HU_hnph2_i1	0.172602835741 	0.172602835741
e0_HU_hnph2_i2	0.182750582164 	0.182750582164
e0_K_hinph2_i1	0.858818338841 	0.858818338841
e0_K_hinph2_i2	0.80342936033 	0.80342936033
e0_K_houtph2_i1	0.998795220673 	0.998795220673
e0_K_houtph2_i2	0.998712115552 	0.998712115552
e0_Q_ph2	1.0 	1.0
e0_T_coutsc	1.0 	1.0
e0_T_hinsc	0.6015625 	0.6015625
e0_U_hph2	1.0 	1.0
e0_T_coutph2	1.0 	1.0
e0_V_Lhph2	0.0114821999744 	0.0114821999744
e0_V_Vhph2	0.135097220575 	0.135097220575
e0_h_Lhinnph2	1.0 	1.0
e0_h_hinnsc	1.0 	1.0
e0_T_coutsh	1.0 	1.0
e0_h_Vhnoutph2	1.0 	1.0
e0_h_cnoutsc	0.00459156075078 	0.00459156075078
e0_T_hinph2	0.6015625 	0.6015625
e0_x_coutsc_k1	solved 	solved
e0_x_hinph2_i1	0.708487633777 	0.708487633777
e0_x_hinph2_i2	0.70957959724 	0.70957959724
e0_x_hinsc_i1	0.589205205865 	0.589205205865
e0_x_hinsc_i2	0.587102004554 	0.587102004554
e0_y_houtph2_i1	0.999317335714 	0.999317335714
e0_y_houtph2_i2	0.998802830547 	0.998802830547
e0_U_hsh	1.0 	1.0
e0_V_hsh	0.0846040016905 	0.0846040016905
e0_greek_DeltaT_logsc	1.0 	1.0
e0_greek_rho_Lhnoutsc	1.0 	1.0
e0_A_sc	0.011938057952 	0.011938057952
e0_F_hnoutsc	0.00836088949712 	0.00836088949712
e0_HU_hnsc	0.116668961142 	0.116668961142
e0_HU_hnsc_i1	0.231100342458 	0.231100342458
e0_HU_hnsc_i2	0.235927445102 	0.235927445102
e0_Q_sc	0.11938057952 	0.11938057952
e0_T_houtsc	1.0 	1.0
e0_U_hsc	1.0 	1.0
e0_V_hsc	0.011333502891 	0.011333502891
e0_A_sh	0.015707963268 	0.015707963268
e0_h_cnoutph2	0.0863597305541 	0.0863597305541
e0_h_cinnsc	5.82076609135e-16 	5.82076609135e-16
e0_h_hnoutsc	1.0 	1.0
e0_h_cnoutsh	0.170303500529 	0.170303500529
e0_h_hinnsh	2.91038304567e-16 	2.91038304567e-16
e0_x_houtsc_i1	0.907439409805 	0.907439409805
e0_x_houtsc_i2	0.914599181684 	0.914599181684
e0_A	1.7763568394e-17 	1.7763568394e-17
e0_A_V	0.0137444678595 	0.0137444678595
e0_A_aux	1.11022302463e-18 	1.11022302463e-18
e0_A_auxsc	0.00340813758389 	0.00340813758389
e0_A_auxsh	0.00419463087248 	0.00419463087248
e0_H_sctotal	0.5078125 	0.5078125
e0_H_shtotal	0.625 	0.625
e0_N_Lpph2	0.760000373593 	0.760000373593
e0_N_psc	0.760000373593 	0.760000373593
e0_N_psh	1.0 	1.0
e0_V	5.55111512313e-17 	5.55111512313e-17
e0_V_L	0.0228157028654 	0.0228157028654
e0_V_Lpph2	0.0150330117213 	0.0150330117213
e0_V_Lph2total	0.0210517289436 	0.0210517289436
e0_V_Ltotal	0.00101311991978 	0.00101311991978
e0_V_Vh	0.219701222266 	0.219701222266
e0_V_Vpph2	0.049480098965 	0.049480098965
e0_V_Vph2total	0.0856171216102 	0.0856171216102
e0_V_Vtotal	0.00101311991978 	0.00101311991978
e0_V_psc	0.0150330117213 	0.0150330117213
e0_V_psh	0.0196349540849 	0.0196349540849
e0_V_sctotal	0.0210517289436 	0.0210517289436
e0_V_shtotal	0.0846040016905 	0.0846040016905
e0_h_Vhinnph2	0.665097408405 	0.665097408405
e0_F_cnoutph2	8.881784197e-18 	8.881784197e-18
e0_x_coutph2_k1	solved 	solved
e0_x_coutsh_k1	solved 	solved
e0_y_hinph2_i1	0.109780038664 	0.109780038664
e0_y_hinph2_i2	0.12546290133 	0.12546290133
e0_F_cnoutsh	8.881784197e-18 	8.881784197e-18
e0_F_Vhinnph2	0.000751962593183 	0.000751962593183
e0_HU_hnsh	1.0 	1.0
e0_greek_DeltaT_logph2	1.0 	1.0
e0_greek_alpha_hinph2wilson_i1	0.0151181785379 	0.0151181785379
e0_greek_alpha_hinph2wilson_i2	0.257549044693 	0.257549044693
e0_greek_alpha_houtph2wilson_i1	0.0151181785379 	0.0151181785379
e0_HU_hnsh_i1	0.465986557678 	0.465986557678
e0_greek_alpha_houtph2wilson_i2	0.257549044693 	0.257549044693
e0_greek_gamma_hinph2_i1	0.989561572665 	0.989561572665
e0_greek_gamma_hinph2_i2	0.952810397316 	0.952810397316
e0_greek_gamma_houtph2_i1	0.968816918816 	0.968816918816
e0_greek_gamma_houtph2_i2	0.918653689592 	0.918653689592
e0_HU_hnsh_i2	0.652157674408 	0.652157674408
e0_greek_rho_Lhnoutph2	1.0 	1.0
e0_A_ph2	0.0294524311274 	0.0294524311274
e0_F_hinnsc	0.00430479537346 	0.00430479537346
e0_F_cnoutsc	8.881784197e-18 	8.881784197e-18
e0_HU_Lhnph2	0.120386388226 	0.120386388226
e0_HU_Vhnph2	0.00197984026117 	0.00197984026117

VarboundSetFraction	 2.90437684076e-202	2.90437684076e-202
HypercubicLengthFraction	0.00756063813111 

Following Variables have been solved:
e0_x_coutsc_k1 (VarBound_0)
e0_x_coutph2_k1 (VarBound_0)
e0_x_coutsh_k1 (VarBound_0)
