***** Results of Analysis *****

Variables	VarBounds_0	VarBounds_1	VarBoundFraction
e0_greek_DeltaT_logsh	1.0 	1.0 	2.0
e0_Q_sh	0.15707963268 	0.000528890035238 	0.157608522715
e0_HU_hnph2_i1	0.169372320458 	0.168410115735 	0.337782436193
e0_HU_hnph2_i2	0.180235525401 	0.180915013427 	0.361150538828
e0_K_hinph2_i1	0.862133468291 	0.852558387768 	1.71469185606
e0_K_hinph2_i2	0.800278656956 	0.80165188188 	1.60193053884
e0_K_houtph2_i1	0.998810590423 	0.998564945508 	1.99737553593
e0_K_houtph2_i2	0.998782165605 	0.998632730738 	1.99741489634
e0_Q_ph2	1.0 	1.0 	2.0
e0_T_coutsc	1.0 	1.0 	2.0
e0_T_hinsc	0.6015625 	0.6015625 	1.203125
e0_U_hph2	1.0 	1.0 	2.0
e0_T_coutph2	1.0 	1.0 	2.0
e0_V_Lhph2	0.0114821999744 	0.0114821999744 	0.0229643999488
e0_V_Vhph2	0.135097220575 	0.039141798062 	0.174239018637
e0_h_Lhinnph2	1.0 	1.0 	2.0
e0_h_hinnsc	1.0 	1.0 	2.0
e0_T_coutsh	1.0 	1.0 	2.0
e0_h_Vhnoutph2	1.0 	1.0 	2.0
e0_h_cnoutsc	0.00459156075078 	0.109375 	0.113966560751
e0_T_hinph2	0.500998744737 	0.498471906939 	0.999470651676
e0_x_coutsc_k1	solved 	solved 	solved
e0_x_hinph2_i1	0.725064806915 	0.706273573356 	1.43133838027
e0_x_hinph2_i2	0.706791532766 	0.713422242576 	1.42021377534
e0_x_hinsc_i1	0.588728160928 	0.561067049452 	1.14979521038
e0_x_hinsc_i2	0.580774021664 	0.564922860824 	1.14569688249
e0_y_houtph2_i1	0.999332586108 	0.999124059053 	1.99845664516
e0_y_houtph2_i2	0.998845364468 	0.998516159759 	1.99736152423
e0_U_hsh	1.0 	1.0 	2.0
e0_V_hsh	0.0846040016905 	0.0061707482035 	0.090774749894
e0_greek_DeltaT_logsc	1.0 	1.0 	2.0
e0_greek_rho_Lhnoutsc	1.0 	1.0 	2.0
e0_A_sc	0.011938057952 	0.011938057952 	0.0238761159041
e0_F_hnoutsc	0.00848418660766 	0.00819222457366 	0.0166764111813
e0_HU_hnsc	0.116668961142 	0.116668961142 	0.233337922284
e0_HU_hnsc_i1	0.231117889169 	0.230911501558 	0.462029390726
e0_HU_hnsc_i2	0.234245616691 	0.23480355766 	0.469049174351
e0_Q_sc	0.11938057952 	0.11938057952 	0.238761159041
e0_T_houtsc	1.0 	1.0 	2.0
e0_U_hsc	1.0 	1.0 	2.0
e0_V_hsc	0.011333502891 	0.011333502891 	0.0226670057821
e0_A_sh	0.015707963268 	5.28890035238e-05 	0.0157608522715
e0_h_cnoutph2	0.0863597305541 	0.3515625 	0.437922230554
e0_h_cinnsc	5.82076609135e-16 	5.82076609135e-16 	1.16415321827e-15
e0_h_hnoutsc	1.0 	1.0 	2.0
e0_h_cnoutsh	0.170303500529 	0.492443967927 	0.662747468455
e0_h_hinnsh	2.91038304567e-16 	2.91038304567e-16 	5.82076609135e-16
e0_x_houtsc_i1	0.908173399854 	0.903455325727 	1.81162872558
e0_x_houtsc_i2	0.903717664015 	0.908316547131 	1.81203421115
e0_A	1.7763568394e-17 	1.7763568394e-17 	3.5527136788e-17
e0_A_V	0.0137444678595 	0.0137444678595 	0.0274889357189
e0_A_aux	1.11022302463e-18 	1.11022302463e-18 	2.22044604925e-18
e0_A_auxsc	0.0029812597451 	0.0029812597451 	0.0059625194902
e0_A_auxsh	0.0036692427632 	1.69480035252e-05 	0.00368619076673
e0_H_sctotal	0.44420770202 	0.44420770202 	0.88841540404
e0_H_shtotal	0.546717171717 	0.00252525252525 	0.549242424242
e0_N_Lpph2	0.760000373593 	0.760000373593 	1.52000074719
e0_N_psc	0.760000373593 	0.760000373593 	1.52000074719
e0_N_psh	1.0 	0.00336701853841 	1.00336701854
e0_V	5.55111512313e-17 	5.55111512313e-17 	1.11022302463e-16
e0_V_L	0.0228157028654 	0.0228157028654 	0.0456314057309
e0_V_Lpph2	0.0150330117213 	0.0150330117213 	0.0300660234426
e0_V_Lph2total	0.0210517289436 	0.0210517289436 	0.0421034578872
e0_V_Ltotal	0.00101311991978 	0.00101311991978 	0.00202623983956
e0_V_Vh	0.219701222266 	0.0453125462655 	0.265013768531
e0_V_Vpph2	0.049480098965 	0.0299112561345 	0.0793913550995
e0_V_Vph2total	0.0856171216102 	0.00878646836304 	0.0944035899733
e0_V_Vtotal	0.00101311991978 	0.00101311991978 	0.00202623983956
e0_V_psc	0.0150330117213 	0.0150330117213 	0.0300660234426
e0_V_psh	0.0196349540849 	6.61112544047e-05 	0.0197010653393
e0_V_sctotal	0.0210517289436 	0.0210517289436 	0.0421034578872
e0_V_shtotal	0.0846040016905 	0.00545207203835 	0.0900560737288
e0_h_Vhinnph2	0.66967483116 	0.498981579154 	1.16865641031
e0_F_cnoutph2	8.881784197e-18 	0.001625 	0.001625
e0_x_coutph2_k1	solved 	solved 	solved
e0_x_coutsh_k1	solved 	solved 	solved
e0_y_hinph2_i1	0.117098707908 	0.0881119360183 	0.205210643926
e0_y_hinph2_i2	0.117098707908 	0.0881119360183 	0.205210643926
e0_F_cnoutsh	8.881784197e-18 	0.001625 	0.001625
e0_F_Vhinnph2	0.000722357685602 	0.000683536318117 	0.00140589400372
e0_HU_hnsh	1.0 	1.0 	2.0
e0_greek_DeltaT_logph2	1.0 	1.0 	2.0
e0_greek_alpha_hinph2wilson_i1	0.0122195561414 	0.0120750338398 	0.0242945899812
e0_greek_alpha_hinph2wilson_i2	0.219287669279 	0.219287669279 	0.438575338558
e0_greek_alpha_houtph2wilson_i1	0.0151181785379 	0.0151181785379 	0.0302363570757
e0_HU_hnsh_i1	0.4649410335 	0.457851496429 	0.922792529929
e0_greek_alpha_houtph2wilson_i2	0.257549044693 	0.257549044693 	0.515098089387
e0_greek_gamma_hinph2_i1	0.991089825366 	0.988836754856 	1.97992658022
e0_greek_gamma_hinph2_i2	0.951661524497 	0.952888041159 	1.90454956566
e0_greek_gamma_houtph2_i1	0.967842961414 	0.966134666822 	1.93397762824
e0_greek_gamma_houtph2_i2	0.920862335144 	0.919630927723 	1.84049326287
e0_HU_hnsh_i2	0.652157674408 	0.638210763849 	1.29036843826
e0_greek_rho_Lhnoutph2	1.0 	1.0 	2.0
e0_A_ph2	0.0294524311274 	0.013797356863 	0.0432497879904
e0_F_hinnsc	0.00436517050841 	0.00408942680271 	0.00845459731112
e0_F_cnoutsc	8.881784197e-18 	0.0008125 	0.0008125
e0_HU_Lhnph2	0.120386388226 	0.120386388226 	0.240772776453
e0_HU_Vhnph2	0.00197984026117 	0.000804365367652 	0.00278420562883

VarboundSetFraction	 9.24260081541e-203	2.21687465759e-178	2.21687465759e-178
HypercubicLengthFraction	0.0117212909735 

Following Variables have been solved:
e0_x_coutsc_k1 (VarBound_0)
e0_x_coutsc_k1 (VarBound_1)
e0_x_coutph2_k1 (VarBound_0)
e0_x_coutph2_k1 (VarBound_1)
e0_x_coutsh_k1 (VarBound_0)
e0_x_coutsh_k1 (VarBound_1)
