***** Results of Analysis *****

Variables	VarBounds_0	VarBoundFraction
e0_h_SecRfeed_c1	1.7763568394e-17 	1.7763568394e-17
e0_h_SecRfeed_c2	1.73472347598e-20 	1.73472347598e-20
e0_h_SecRfeed_c3	7.1054273576e-17 	7.1054273576e-17
e0_h_SecRfeed_c4	7.1054273576e-17 	7.1054273576e-17
e0_h_SecRfeed_c5	3.5527136788e-17 	3.5527136788e-17
e0_HU_LSecR	1.0 	1.0
e0_v_LSecR	0.000336838195823 	0.000336838195823
e0_greek_epsiv_LSecR	0.01 	0.01
e0_V_SecRV	0.7434 	0.7434
e0_HU_SecRV	0.464659968831 	0.464659968831
e0_v_SecRV	0.0334250928483 	0.0334250928483
e0_c_SecR_c1	1.0 	1.0
e0_c_SecR_c2	1.0 	1.0
e0_greek_DeltaP_SecR	0.6330515625 	0.6330515625
e0_P_SecR	0.422034375 	0.422034375
e0_greek_rho_LSecR	0.267853499258 	0.267853499258
e0_M_LSecR	0.0558698133681 	0.0558698133681
e0_greek_rho_SecRV	0.954534020966 	0.954534020966
e0_M_SecRV	0.111401350444 	0.111401350444
e0_greek_alpha_SecR_c1	0.00548502587185 	0.00548502587185
e0_greek_alpha_SecR_c2	0.00390099038285 	0.00390099038285
e0_greek_alpha_SecR_c3	0.144712296645 	0.144712296645
e0_greek_alpha_SecR_c4	0.187914216311 	0.187914216311
e0_greek_alpha_SecR_c5	0.00454853153735 	0.00454853153735
e0_a_c1	5.55111512313e-18 	5.55111512313e-18
e0_a_c2	1.11022302463e-17 	1.11022302463e-17
e0_a_c3	2.22044604925e-17 	2.22044604925e-17
e0_a_c4	4.4408920985e-17 	4.4408920985e-17
e0_a_c5	5.55111512313e-18 	5.55111512313e-18
e0_a_LSecR	1.0 	1.0
e0_a_SecRV	1.0 	1.0
e0_b_c1	6.77626357803e-18 	6.77626357803e-18
e0_b_c2	6.77626357803e-18 	6.77626357803e-18
e0_b_c3	1.35525271561e-17 	1.35525271561e-17
e0_b_c4	1.35525271561e-17 	1.35525271561e-17
e0_b_c5	3.38813178902e-18 	3.38813178902e-18
e0_b_LSecR	0.710322926232 	0.710322926232
e0_b_SecRV	1.0 	1.0
e0_m_c1	1.11022302463e-16 	1.11022302463e-16
e0_m_c2	5.55111512313e-17 	5.55111512313e-17
e0_m_c3	1.11022302463e-16 	1.11022302463e-16
e0_m_c4	1.11022302463e-16 	1.11022302463e-16
e0_m_c5	1.11022302463e-16 	1.11022302463e-16
e0_F_LSecR_c1	0.15 	0.15
e0_F_LSecR_c2	0.15 	0.15
e0_F_LSecR_c3	0.15 	0.15
e0_F_LSecR_c4	0.15 	0.15
e0_F_LSecR_c5	0.15 	0.15
e0_F_SecRV_c1	0.0392030748977 	0.0392030748977
e0_F_SecRV_c2	0.0315370981684 	0.0315370981684
e0_F_SecRV_c3	0.7584 	0.7584
e0_F_SecRV_c4	0.743400000476 	0.743400000476
e0_F_SecRV_c5	0.745829044065 	0.745829044065
e0_V_LSecR	0.7434 	0.7434
e0_r_SecR_r1	1.0 	1.0
e0_r_SecR_r2	1.0 	1.0
e0_greek_phiv_LSecR_c1	1.0 	1.0
e0_greek_phiv_LSecR_c2	1.0 	1.0
e0_greek_phiv_LSecR_c3	1.0 	1.0
e0_greek_phiv_LSecR_c4	1.0 	1.0
e0_greek_phiv_LSecR_c5	1.0 	1.0
e0_greek_phiv_SecRV_c1	1.0 	1.0
e0_greek_phiv_SecRV_c2	1.0 	1.0
e0_greek_phiv_SecRV_c3	1.0 	1.0
e0_greek_phiv_SecRV_c4	1.0 	1.0
e0_greek_phiv_SecRV_c5	1.0 	1.0
e0_F_SecRV	0.837855343718 	0.837855343718
e0_F_SecRfeed	1.7763568394e-18 	1.7763568394e-18
e0_HU_LSecR_c1	0.047333671875 	0.047333671875
e0_HU_LSecR_c2	0.0360084375 	0.0360084375
e0_HU_LSecR_c3	1.0 	1.0
e0_HU_LSecR_c4	1.0 	1.0
e0_HU_LSecR_c5	9.38773155212e-05 	9.38773155212e-05
e0_HU_SecR_c1	0.0699779626465 	0.0699779626465
e0_HU_SecR_c2	0.0528199871635 	0.0528199871635
e0_HU_SecR_c3	1.0 	1.0
e0_HU_SecR_c4	1.0 	1.0
e0_HU_SecR_c5	0.000139715848491 	0.000139715848491
e0_HU_SecRV_c1	0.021903924644 	0.021903924644
e0_HU_SecRV_c2	0.0168115496635 	0.0168115496635
e0_HU_SecRV_c3	1.0 	1.0
e0_HU_SecRV_c4	1.0 	1.0
e0_HU_SecRV_c5	4.40393705503e-05 	4.40393705503e-05
e0_h_LSecR	1.0 	1.0
e0_h_SecRV	0.464864438074 	0.464864438074
e0_h_SecRfeed	1.90734863281e-06 	1.90734863281e-06
e0_greek_Deltah_SecRVLdeparture	1.0 	1.0
e0_h_SecRV_c1	7.45867500001e-05 	7.45867500001e-05
e0_h_SecRV_c2	7.9245e-06 	7.9245e-06
e0_h_SecRV_c3	0.0001051575 	0.0001051575
e0_h_SecRV_c4	0.00012153 	0.00012153
e0_h_SecRV_c5	3.93262500111e-07 	3.93262500111e-07
e0_T_SecR	1.0 	1.0

VarboundSetFraction	 0.0	0.0
HypercubicLengthFraction	0.0 
