***** Results of Analysis *****

Variables	VarBounds_0	VarBounds_1	VarBoundFraction
e0_greek_DeltaT_logsh	1.0 	1.0 	2.0
e0_Q_sh	0.15707963268 	0.00107105011561 	0.158150682795
e0_HU_hnph2_i1	0.172363769058 	0.167674322186 	0.340038091244
e0_HU_hnph2_i2	0.181366941567 	0.177330905538 	0.358697847105
e0_K_hinph2_i1	0.862133468291 	0.855215627248 	1.71734909554
e0_K_hinph2_i2	0.800278656956 	0.801627128078 	1.60190578503
e0_K_houtph2_i1	0.998810590423 	0.998592276874 	1.9974028673
e0_K_houtph2_i2	0.998798910365 	0.998583372696 	1.99738228306
e0_Q_ph2	1.0 	1.0 	2.0
e0_T_coutsc	1.0 	1.0 	2.0
e0_T_hinsc	0.6015625 	0.6015625 	1.203125
e0_U_hph2	1.0 	1.0 	2.0
e0_T_coutph2	1.0 	1.0 	2.0
e0_V_Lhph2	0.0114821999744 	0.0114821999744 	0.0229643999488
e0_V_Vhph2	0.135097220575 	0.0389099688446 	0.17400718942
e0_h_Lhinnph2	1.0 	1.0 	2.0
e0_h_hinnsc	1.0 	1.0 	2.0
e0_T_coutsh	1.0 	1.0 	2.0
e0_h_Vhnoutph2	1.0 	1.0 	2.0
e0_h_cnoutsc	0.00459156075078 	0.109375 	0.113966560751
e0_T_hinph2	0.503910298483 	0.49876862993 	1.00267892841
e0_x_coutsc_k1	solved 	solved 	solved
e0_x_hinph2_i1	0.725064806915 	0.714820761123 	1.43988556804
e0_x_hinph2_i2	0.706791532766 	0.709225206501 	1.41601673927
e0_x_hinsc_i1	0.589435799193 	0.550445870816 	1.13988167001
e0_x_hinsc_i2	0.592884966254 	0.563084099423 	1.15596906568
e0_y_houtph2_i1	0.999332586108 	0.999219353461 	1.99855193957
e0_y_houtph2_i2	0.998875495653 	0.998817220935 	1.99769271659
e0_U_hsh	1.0 	1.0 	2.0
e0_V_hsh	0.0846040016905 	0.00805170404475 	0.0926557057352
e0_greek_DeltaT_logsc	1.0 	1.0 	2.0
e0_greek_rho_Lhnoutsc	1.0 	1.0 	2.0
e0_A_sc	0.011938057952 	0.011938057952 	0.0238761159041
e0_F_hnoutsc	0.00848405613189 	0.00789180800021 	0.0163758641321
e0_HU_hnsc	0.116668961142 	0.116668961142 	0.233337922284
e0_HU_hnsc_i1	0.231050833163 	0.230964790379 	0.462015623543
e0_HU_hnsc_i2	0.234245616691 	0.233131531069 	0.467377147759
e0_Q_sc	0.11938057952 	0.11938057952 	0.238761159041
e0_T_houtsc	1.0 	1.0 	2.0
e0_U_hsc	1.0 	1.0 	2.0
e0_V_hsc	0.011333502891 	0.011333502891 	0.0226670057821
e0_A_sh	0.015707963268 	0.000107105011561 	0.0158150682795
e0_h_cnoutph2	0.0863597305541 	0.3515625 	0.437922230554
e0_h_cinnsc	5.82076609135e-16 	5.82076609135e-16 	1.16415321827e-15
e0_h_hnoutsc	1.0 	1.0 	2.0
e0_h_cnoutsh	0.170303500529 	0.492464188349 	0.662767688878
e0_h_hinnsh	2.91038304567e-16 	2.91038304567e-16 	5.82076609135e-16
e0_x_houtsc_i1	0.908125326008 	0.902622286297 	1.8107476123
e0_x_houtsc_i2	0.903214746323 	0.902528618688 	1.80574336501
e0_A	1.7763568394e-17 	1.7763568394e-17 	3.5527136788e-17
e0_A_V	0.0137444678595 	0.0137444678595 	0.0274889357189
e0_A_aux	1.11022302463e-18 	1.11022302463e-18 	2.22044604925e-18
e0_A_auxsc	0.00310584594576 	0.00310584594576 	0.00621169189152
e0_A_auxsh	0.00368100260238 	3.42418846733e-05 	0.00371524448706
e0_H_sctotal	0.445631377551 	0.445631377551 	0.891262755102
e0_H_shtotal	0.548469387755 	0.00510204081633 	0.553571428571
e0_N_Lpph2	0.760000373593 	0.760000373593 	1.52000074719
e0_N_psc	0.760000373593 	0.760000373593 	1.52000074719
e0_N_psh	1.0 	0.00681851680791 	1.00681851681
e0_V	5.55111512313e-17 	5.55111512313e-17 	1.11022302463e-16
e0_V_L	0.0228157028654 	0.0228157028654 	0.0456314057309
e0_V_Lpph2	0.0150330117213 	0.0150330117213 	0.0300660234426
e0_V_Lph2total	0.0210517289436 	0.0210517289436 	0.0421034578872
e0_V_Ltotal	0.00101311991978 	0.00101311991978 	0.00202623983956
