***** Results of Analysis *****

Variables	VarBounds_0	VarBoundFraction
e0_K_LV_i1	0.648228480048 	0.648228480048
e0_h_V	1.0 	1.0
e0_p	solved 	solved
e0_x_i1	0.209255989602 	0.209255989602
e0_x_i2	0.209255989602 	0.209255989602
e0_K_LV_i2	0.0883943648922 	0.0883943648922
e0_x_F_i2	1.11022302463e-16 	1.11022302463e-16
e0_y_i1	0.404233169751 	0.404233169751
e0_y_i2	0.404233157704 	0.404233157704
e0_greek_alpha_L_i1	2.77555756156e-17 	2.77555756156e-17
e0_greek_alpha_L_i2	1.11022302463e-16 	1.11022302463e-16
e0_greek_gamma_L_i1	0.448822985522 	0.448822985522
e0_greek_gamma_L_i2	0.139949047538 	0.139949047538
e0_h_F	1.94025536378e-15 	1.94025536378e-15
e0_L	0.473838442365 	0.473838442365
e0_Q	1.0 	1.0
e0_V	0.473838432565 	0.473838432565
e0_HU_i1	0.523237336977 	0.523237336977
e0_HU_i2	0.519024667236 	0.519024667236
e0_HU_L	4.6566128991e-10 	4.6566128991e-10
e0_HU_V	5.55523315645e-06 	5.55523315645e-06
e0_U	0.0130814858741 	0.0130814858741
e0_V_L	6.45911155471e-07 	6.45911155471e-07
e0_V_V	6.49872833186e-07 	6.49872833186e-07
e0_V_total	1.73472347598e-17 	1.73472347598e-17
e0_A	3.46944695195e-17 	3.46944695195e-17
e0_r_DH	5.55111512313e-17 	5.55111512313e-17
e0_h_L	1.0 	1.0

VarboundSetFraction	 4.94647372962e-148	4.94647372962e-148
HypercubicLengthFraction	3.50133104344e-06 

Following Variables have been solved:
e0_p (VarBound_0)
